Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.18-142.250.184.97-39389-443-6,192.168.100.18,39389,142.250.184.97,443,6,17/05/2026 10:01:46 pm,43775,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,548.258138206739,91.37635636778982,14591.666666666668,25027.95965182406,43491.0,0.0,284.0,284.0,0.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,40,45.68817818389491,45.68817818389491,0.0,24.0,9.6,13.145341380123988,172.8,2,0,0,1,4,0,0,0,1.0,12.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1048,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-95.101.234.91-64405-443-17,192.168.100.18,64405,95.101.234.91,443,17,17/05/2026 10:01:39 pm,6450551,17,20,4295.0,4989.0,1250.0,29.0,252.64705882352942,476.9471853854039,1452.0,21.0,249.45000000000002,468.2739273679793,1439.2568944885484,5.73594410772041,179181.97222222222,289239.4492178692,1607350.0,0.0,6290223.0,393138.9375,441148.6000818724,1762413.0,335.0,6318859.0,332571.5263157895,436802.7748345379,1767678.0,0.0,0,0,0,0,136,160,2.635433779222891,3.1005103284975193,21.0,1452.0,277.2105263157894,487.07556203267393,237242.6031294452,0,0,0,0,0,0,0,0,1.0,284.7027027027027,252.64705882352942,249.45,0,0,0,9231,35,1971,17,4295,20,4989,0,0,16,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-142.250.202.234-38533-443-6,192.168.100.18,38533,142.250.202.234,443,6,17/05/2026 10:01:45 pm,46638,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.441742784853552,42.883485569707105,46638.0,0.0,46638.0,46638.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,21.441742784853552,21.441742784853552,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1032,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-224.0.0.252-59212-5355-17,192.168.100.18,59212,224.0.0.252,5355,17,17/05/2026 10:01:40 pm,437749,2,0,66.0,0.0,33.0,33.0,33.0,0.0,0,0,0,0,150.77133243022828,4.568828255461463,437749.0,0.0,437749.0,437749.0,437749.0,437749.0,0.0,437749.0,437749.0,0,0,0,0,0,0,0,0,0,16,0,4.568828255461463,0.0,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,49.5,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-74.125.90.74-39386-443-6,192.168.100.18,39386,74.125.90.74,443,6,17/05/2026 10:01:45 pm,44486,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.47898215168817,44.95796430337634,44486.0,0.0,44486.0,44486.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,22.47898215168817,22.47898215168817,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,512,1047,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-35.190.88.7-37024-443-6,192.168.100.18,37024,35.190.88.7,443,6,17/05/2026 10:01:39 pm,125370,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.952779771875248,125370.0,0.0,125370.0,125370.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.976389885937624,7.976389885937624,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,592,1043,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-35.190.88.7-36984-443-6,192.168.100.18,36984,35.190.88.7,443,6,17/05/2026 10:01:39 pm,133161,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.019412590773575,133161.0,0.0,133161.0,133161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.5097062953867875,7.5097062953867875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,592,1044,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-192.168.100.1-52362-53-17,192.168.100.18,52362,192.168.100.1,53,17,17/05/2026 10:01:38 pm,270540,1,1,30.0,235.0,30.0,30.0,30.0,0.0,235.0,235.0,235.0,0.0,979.5224366082649,7.392622163081245,270540.0,0.0,270540.0,270540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.6963110815406224,3.6963110815406224,30.0,235.0,98.33333333333333,118.35680518387328,14008.333333333332,0,0,0,0,0,0,0,0,1.0,147.5,30.0,235.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-192.168.100.1-54847-53-17,192.168.100.18,54847,192.168.100.1,53,17,17/05/2026 10:01:38 pm,270182,1,1,30.0,221.0,30.0,30.0,30.0,0.0,221.0,221.0,221.0,0.0,929.0034125145273,7.402417629597827,270182.0,0.0,270182.0,270182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.7012088147989135,3.7012088147989135,30.0,221.0,93.66666666666666,110.27390141521852,12160.333333333332,0,0,0,0,0,0,0,0,1.0,140.5,30.0,221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.100.18-224.0.0.252-50293-5355-17,192.168.100.18,50293,224.0.0.252,5355,17,17/05/2026 10:01:40 pm,437067,2,0,66.0,0.0,33.0,33.0,33.0,0.0,0,0,0,0,151.00659624268133,4.575957461899434,437067.0,0.0,437067.0,437067.0,437067.0,437067.0,0.0,437067.0,437067.0,0,0,0,0,0,0,0,0,0,16,0,4.575957461899434,0.0,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,49.5,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
